"Blue T-shirt	blue.t-shirt	A simple blue t-shirt	t-shirt, cool, blue, blue shirt	shirt
Cat hat	cat.hat.0	The cat in the hat? How about a cat head for a hat!	grusome, cat hat	head
Blue Jeans	blue.jeans-worn	Worn blue jeans	jeans, blue pants, blue, worn	pants
Beer	beer.1	A nice cold beer? How is it so cold??	beer	
Black Shirt	black.shirt	A simple black shirt	shirt, practical, black, black shirt	shirt
White T-shirt	white.t-shirt	A simple white t-shirt	shirt, cool, white, white shirt	shirt
Green Shirt	green.shirt	A simple green shirt	shirt, practical, green, green shirt	shirt
Black Leather Pants	black.leather-pants	Durable black leather pants	leather, black pants, black, tough	pants
Hammer	hammer.0	An old but reliable smithing hammer.	old, hammer, smithing hammer	hand
Knife	knife.0	A simple paring knife	simple, knife, paring knife	hand
Rag	rag.0	An old grundgy rag.	old, dirty, rag	hand
grey shirt	grey.shirt	The shirt shows age but you can't figure what its made of.	old, grey, grey shirt	shirt
grey pants	grey.pants	The pants shows age but you can't figure what they're made of.	old, grey, grey pants	pants
brown shoes	brown.shoes	Basic brown shoes, they're comfortable enough.	simple, brown, brown shoes	Shoes
Black Stone Ring	black.stone-ring	A strange ring.	strange, black, stone, black ring, stone ring	Ring
Wedding Ring	wedding.ring	A simple gold band with one small diamond.	married, gold, gold ring, diamond ring	Ring
Black Dress	Black.dress	A black dress with white frill along the edges.	Pretty, black, black dress, clean	
black Gown	black.gown	A solid black gown with a silver circle on the front.	ugly, black, black gown, faith	shirt
Black Heels	Black.heels	One inch black heels.	shoe, black, black shoe	Shoes
black Shoes	black.shoes	Plain black shoes. Lost their shine.	shoe, black, black shoe	Shoes
temple Ring	temple.ring	silver ornate ring made of interlocking circles	faith, silver, silver ring	ring
black Cane	black.cane	A black cane made of quality wood.	cane, black, black cane	hand
strange helmet	Strange.helmet	An oversized cumbersom helmet	stupid, black, black helmet	hat
brown jacket	brown.jacket	 a large heavy jacket	brown, brown jacket	shirt
long red-dress	Long.red-dress	an expesnsive beautiful floor length dress	dress, red, red dress, pretty	shirt
brown pants	brown.pants	heavy pants	brown, brown pants	pants
axe	axe.0	a simple axe, good enough for cutting trees.	crude, old, axe	hand"
